vidId,frameNum,detectedObjId,detectedObjClass,confidence,x1,y1,x2,y2
Cyclist and vehicle tracking - 2.mp4,138,2,bicycle,0.433791,725.4739,397.67508,753.9076,420.89444
Cyclist and vehicle tracking - 2.mp4,139,2,bicycle,0.43656337,725.7905,397.893,754.99854,421.75812
Cyclist and vehicle tracking - 2.mp4,140,2,bicycle,0.50618094,725.68304,398.16385,755.7331,422.81564
Cyclist and vehicle tracking - 2.mp4,141,2,bicycle,0.48142168,726.0538,397.6822,757.66595,423.55768
Cyclist and vehicle tracking - 2.mp4,142,2,bicycle,0.40963516,726.7174,397.87897,756.8998,423.54144
Cyclist and vehicle tracking - 2.mp4,143,2,bicycle,0.4316689,726.6907,398.91864,758.12964,424.78864
Cyclist and vehicle tracking - 2.mp4,144,2,bicycle,0.3698977,726.71265,398.61523,760.85144,424.53735
Cyclist and vehicle tracking - 2.mp4,145,2,bicycle,0.29486394,727.8651,397.58463,755.32275,423.26114
Cyclist and vehicle tracking - 2.mp4,146,2,bicycle,0.36767462,728.2653,397.68896,757.49677,423.52783
Cyclist and vehicle tracking - 2.mp4,147,2,bicycle,0.36629948,728.3774,397.72046,756.919,423.80322
Cyclist and vehicle tracking - 2.mp4,148,2,bicycle,0.42397037,735.2975,398.7073,760.1963,422.63156
Cyclist and vehicle tracking - 2.mp4,149,2,bicycle,0.40096056,737.52496,399.09296,762.9504,422.14655
Cyclist and vehicle tracking - 2.mp4,150,2,bicycle,0.51428384,738.4673,398.55347,766.0718,422.12427
Cyclist and vehicle tracking - 2.mp4,151,2,bicycle,0.54513013,739.94495,399.27448,766.3778,421.4264
Cyclist and vehicle tracking - 2.mp4,152,2,bicycle,0.61631227,741.32996,399.5094,768.16956,421.33765
Cyclist and vehicle tracking - 2.mp4,153,2,bicycle,0.5091402,743.04895,398.248,771.8729,422.6864
Cyclist and vehicle tracking - 2.mp4,154,2,bicycle,0.52355695,744.75415,399.02234,771.81323,423.06982
Cyclist and vehicle tracking - 2.mp4,155,2,bicycle,0.5157926,745.4592,399.09937,772.58887,422.8994
Cyclist and vehicle tracking - 2.mp4,156,2,bicycle,0.39467615,747.45447,398.20905,773.7799,421.8105
Cyclist and vehicle tracking - 2.mp4,157,2,bicycle,0.25558835,748.2274,396.92084,774.33044,419.68988
Cyclist and vehicle tracking - 2.mp4,158,2,bicycle,0.39342463,749.77435,399.57,777.7225,422.43658
Cyclist and vehicle tracking - 2.mp4,159,2,bicycle,0.41836223,751.3237,398.7129,779.32104,423.13562
Cyclist and vehicle tracking - 2.mp4,160,2,bicycle,0.49334943,752.42615,398.36267,782.8087,425.92725
Cyclist and vehicle tracking - 2.mp4,161,2,bicycle,0.5181019,753.9817,398.17603,783.1074,424.04407
Cyclist and vehicle tracking - 2.mp4,162,2,bicycle,0.503241,755.29517,398.97516,782.80225,422.6098
Cyclist and vehicle tracking - 2.mp4,163,2,bicycle,0.5332322,756.1362,399.04077,785.04675,423.24536
Cyclist and vehicle tracking - 2.mp4,164,2,bicycle,0.4879643,756.67346,399.36865,784.05273,426.93964
Cyclist and vehicle tracking - 2.mp4,165,2,bicycle,0.4477296,757.6095,400.0536,787.235,422.96497
Cyclist and vehicle tracking - 2.mp4,166,2,bicycle,0.44334242,757.693,399.81635,786.07336,423.09406
Cyclist and vehicle tracking - 2.mp4,167,2,bicycle,0.34925613,758.35815,399.37292,792.81836,424.78192
Cyclist and vehicle tracking - 2.mp4,168,2,bicycle,0.30006576,758.7582,400.48273,792.48376,425.0943
Cyclist and vehicle tracking - 2.mp4,169,2,bicycle,0.30999467,760.69995,399.53326,791.33716,426.6353
Cyclist and vehicle tracking - 2.mp4,170,2,bicycle,0.30501097,762.20917,399.3841,792.9621,425.53668
Cyclist and vehicle tracking - 2.mp4,171,2,bicycle,0.28402007,776.4301,398.01285,802.78204,423.81705
Cyclist and vehicle tracking - 2.mp4,172,2,bicycle,0.3276223,782.93274,398.83487,809.3358,424.70193
Cyclist and vehicle tracking - 2.mp4,173,2,bicycle,0.40040082,783.5146,398.81464,810.6735,424.79828
Cyclist and vehicle tracking - 2.mp4,174,2,bicycle,0.35848287,784.11597,399.26364,811.999,425.16562
Cyclist and vehicle tracking - 2.mp4,175,2,bicycle,0.48246026,784.8747,398.393,813.90717,425.99207
Cyclist and vehicle tracking - 2.mp4,176,2,bicycle,0.44492882,785.0757,398.87384,813.30945,425.25494
Cyclist and vehicle tracking - 2.mp4,177,2,bicycle,0.5635661,785.4479,399.46085,816.078,426.75217
Cyclist and vehicle tracking - 2.mp4,178,2,bicycle,0.4631552,786.7932,400.26358,814.8242,427.61008
Cyclist and vehicle tracking - 2.mp4,179,2,bicycle,0.41933954,787.3387,400.65213,814.9206,428.0079
Cyclist and vehicle tracking - 2.mp4,180,2,bicycle,0.4772308,787.5195,399.7326,817.51373,430.13544
Cyclist and vehicle tracking - 2.mp4,181,2,bicycle,0.49038815,788.3075,400.19305,817.2645,429.62958
Cyclist and vehicle tracking - 2.mp4,182,2,bicycle,0.47372165,789.25757,399.8225,818.0569,428.958
Cyclist and vehicle tracking - 2.mp4,183,2,bicycle,0.38113004,789.59106,399.40005,820.8956,426.60062
Cyclist and vehicle tracking - 2.mp4,184,2,bicycle,0.4713363,789.7814,400.19794,818.39197,427.15167
Cyclist and vehicle tracking - 2.mp4,185,2,bicycle,0.4521584,790.21326,400.3225,820.54944,427.81042
Cyclist and vehicle tracking - 2.mp4,186,2,bicycle,0.40522367,791.797,400.1503,817.90015,428.44638
Cyclist and vehicle tracking - 2.mp4,186,2,bicycle,0.25256765,793.1001,402.03583,820.50903,435.4743
Cyclist and vehicle tracking - 2.mp4,187,2,bicycle,0.3209364,792.6907,400.3731,819.02246,426.09308
Cyclist and vehicle tracking - 2.mp4,188,2,bicycle,0.3044854,793.11084,400.85168,818.8679,425.66333
Cyclist and vehicle tracking - 2.mp4,189,2,bicycle,0.32759184,793.868,400.78394,821.72955,425.19226
Cyclist and vehicle tracking - 2.mp4,190,2,bicycle,0.3899421,794.02155,400.28806,822.66925,426.12387
Cyclist and vehicle tracking - 2.mp4,191,2,bicycle,0.31191257,795.2147,400.6729,821.90125,424.73718
Cyclist and vehicle tracking - 2.mp4,192,2,bicycle,0.38983232,795.3062,400.21173,821.81146,424.23016
Cyclist and vehicle tracking - 2.mp4,193,2,bicycle,0.39842677,795.71826,400.35895,824.2141,424.76715
Cyclist and vehicle tracking - 2.mp4,194,2,bicycle,0.40019298,795.94775,400.01758,823.9098,424.70142
Cyclist and vehicle tracking - 2.mp4,195,2,bicycle,0.25056738,800.21606,400.14417,829.38196,432.28357
Cyclist and vehicle tracking - 2.mp4,196,2,bicycle,0.30856898,800.40845,400.2503,828.3878,426.95306
Cyclist and vehicle tracking - 2.mp4,197,2,bicycle,0.38847756,800.5746,400.14365,830.2782,427.80588
Cyclist and vehicle tracking - 2.mp4,198,2,bicycle,0.419562,800.9703,399.8835,830.9882,428.72867
Cyclist and vehicle tracking - 2.mp4,199,2,bicycle,0.4674965,801.1755,399.62183,831.03644,430.02063
Cyclist and vehicle tracking - 2.mp4,200,2,bicycle,0.4965678,801.6262,400.07385,830.6266,428.79175
